ID,Categoria,Requisito,Tipo,Evidencia esperada,Peso,Estado,Notas
C-01,Constitucion,"Declarar sistema bajo YUN v1.0",Constitucion,"README, docs/yun/00-manifesto.md",5,,
C-02,Constitucion,"Declarar version RFC-0001 soportada",Constitucion,"docs/yun/rfc/RFC-0001, changelog",4,,
C-03,Constitucion,"Revisar arquitectura contra MUST/SHOULD/MAY",Constitucion,"ADRs, actas de revision",5,,
MM-01,Meta-modelo,"Mapeo Organization->Federation->...->Deployment",Blueprint,"Modelos, diagramas",5,,
HF-01,Heptafederacion,"Identificar claramente F1-F7",Blueprint,"docs/yun/03-blueprint.md",4,,
HF-02,Heptafederacion,"Definir L0-L10 y P0-P10",Blueprint,"Anexos de diseno",3,,
SV-01,Soberania,"Definir infraestructura local/CITEMESH",Soberania,"Inventario de nodos",4,,
SV-02,Soberania,"Documentar uso de plataformas externas",Soberania,"ADRs, contratos",3,,
SV-03,Soberania,"Usar MSR BLOCKCHAIN para decisiones clave",Soberania,"Registros en ledger",5,,
SD-01,Seguridad y datos,"Clasificar datos P0/P1/P2",Seguridad,"data_catalog",5,,
SD-02,Seguridad y datos,"Aplicar cifrado adecuado a P0",Seguridad,"Configuracion de DB/TLS",5,,
SD-03,Seguridad y datos,"Aplicar Triple Bloqueo Semantico",Seguridad,"Politicas y codigo",4,,
EV-01,Eventos,"Usar esquema minimo de eventos",Eventos,"Contratos, ejemplos de eventos",5,,
EV-02,Eventos,"Desplegar GEMET u otro event fabric",Eventos,"Configuracion de bus",4,,
EV-03,Eventos,"Generar eventos clave en TAMV/otros",Eventos,"Logs, dashboards",3,,
IA-01,ISA-API,"Definir OpenAPI 3.x para ISA-API",ISA-API,"openapi.yaml",5,,
IA-02,ISA-API,"Incluir x-yun-* en endpoints criticos",ISA-API,"openapi.yaml",4,,
IA-03,ISA-API,"Implementar motores ORION..TOPOLOGY",ISA-API,"Docs, servicios",4,,
IA-04,ISA-API,"Implementar explicabilidad operacional",ISA-API,"Ejemplos de respuestas",3,,
GV-01,Gobernanza,"Definir Architecture Board y RACI",Gobernanza,"docs/yun/02-governance.md",4,,
GV-02,Gobernanza,"Mantener ADR Index actualizado",Gobernanza,"docs/yun/07-adr-index.md",4,,
GV-03,Gobernanza,"Registrar cambios mayores en ADR/MSR",Gobernanza,"Historial y ledger",5,,
OP-01,Operacion,"Adoptar manual de operaciones YUN",Operacion,"docs/yun/05-operations-manual.md",4,,
OP-02,Operacion,"Probar modos degradados",Operacion,"Reportes de pruebas",4,,
OP-03,Operacion,"Tener dashboards de salud/alertas",Operacion,"Paneles de observabilidad",4,,
